ID,Species,Observer,Trial
Landmarks-Alouatta-Camilo-Trial-1,Alouatta palliata,CLA,1
Landmarks-Alouatta-Camilo-Trial-2,Alouatta palliata,CLA,2
Landmarks-Alouatta-Camilo-Trial-3,Alouatta palliata,CLA,3
Landmarks-Alouatta-Camilo-Trial-4,Alouatta palliata,CLA,4
Landmarks-Alouatta-Camilo-Trial-5,Alouatta palliata,CLA,5
Landmarks-Alouatta-Camilo-Trial-6,Alouatta palliata,CLA,6
Landmarks-Alouatta-Camilo-Trial-7,Alouatta palliata,CLA,7
Landmarks-Alouatta-Maddy-Trial-1,Alouatta palliata,MML,1
Landmarks-Alouatta-Maddy-Trial-2,Alouatta palliata,MML,2
Landmarks-Alouatta-Maddy-Trial-3,Alouatta palliata,MML,3
Landmarks-Alouatta-Maddy-Trial-4,Alouatta palliata,MML,4
Landmarks-Alouatta-Maddy-Trial-5,Alouatta palliata,MML,5
Landmarks-Alouatta-Maddy-Trial-6,Alouatta palliata,MML,6
Landmarks-Alouatta-Maddy-Trial-7,Alouatta palliata,MML,7
Landmarks-Alouatta-Remi-Trial-1,Alouatta palliata,RA,1
Landmarks-Alouatta-Remi-Trial-2,Alouatta palliata,RA,2
Landmarks-Alouatta-Remi-Trial-3,Alouatta palliata,RA,3
Landmarks-Alouatta-Remi-Trial-4,Alouatta palliata,RA,4
Landmarks-Alouatta-Remi-Trial-5,Alouatta palliata,RA,5
Landmarks-Alouatta-Remi-Trial-6,Alouatta palliata,RA,6
Landmarks-Alouatta-Remi-Trial-7,Alouatta palliata,RA,7
Landmarks-Ochotona-Camilo-Trial-1,Ochotona pallasi,CLA,1
Landmarks-Ochotona-Camilo-Trial-2,Ochotona pallasi,CLA,2
Landmarks-Ochotona-Camilo-Trial-3,Ochotona pallasi,CLA,3
Landmarks-Ochotona-Camilo-Trial-4,Ochotona pallasi,CLA,4
Landmarks-Ochotona-Camilo-Trial-5,Ochotona pallasi,CLA,5
Landmarks-Ochotona-Camilo-Trial-6,Ochotona pallasi,CLA,6
Landmarks-Ochotona-Camilo-Trial-7,Ochotona pallasi,CLA,7
Landmarks-Ochotona-Maddy-Trial-1,Ochotona pallasi,MML,1
Landmarks-Ochotona-Maddy-Trial-2,Ochotona pallasi,MML,2
Landmarks-Ochotona-Maddy-Trial-3,Ochotona pallasi,MML,3
Landmarks-Ochotona-Maddy-Trial-4,Ochotona pallasi,MML,4
Landmarks-Ochotona-Maddy-Trial-5,Ochotona pallasi,MML,5
Landmarks-Ochotona-Maddy-Trial-6,Ochotona pallasi,MML,6
Landmarks-Ochotona-Maddy-Trial-7,Ochotona pallasi,MML,7
Landmarks-Ochotona-Remi-Trial-1,Ochotona pallasi,RA,1
Landmarks-Ochotona-Remi-Trial-2,Ochotona pallasi,RA,2
Landmarks-Ochotona-Remi-Trial-3,Ochotona pallasi,RA,3
Landmarks-Ochotona-Remi-Trial-4,Ochotona pallasi,RA,4
Landmarks-Ochotona-Remi-Trial-5,Ochotona pallasi,RA,5
Landmarks-Ochotona-Remi-Trial-6,Ochotona pallasi,RA,6
Landmarks-Ochotona-Remi-Trial-7,Ochotona pallasi,RA,7
Landmarks-Octodon-Camilo-Trial-1,Octodon degus,CLA,1
Landmarks-Octodon-Camilo-Trial-2,Octodon degus,CLA,2
Landmarks-Octodon-Camilo-Trial-3,Octodon degus,CLA,3
Landmarks-Octodon-Camilo-Trial-4,Octodon degus,CLA,4
Landmarks-Octodon-Camilo-Trial-5,Octodon degus,CLA,5
Landmarks-Octodon-Camilo-Trial-6,Octodon degus,CLA,6
Landmarks-Octodon-Camilo-Trial-7,Octodon degus,CLA,7
Landmarks-Octodon-Maddy-Trial-1,Octodon degus,MML,1
Landmarks-Octodon-Maddy-Trial-2,Octodon degus,MML,2
Landmarks-Octodon-Maddy-Trial-3,Octodon degus,MML,3
Landmarks-Octodon-Maddy-Trial-4,Octodon degus,MML,4
Landmarks-Octodon-Maddy-Trial-5,Octodon degus,MML,5
Landmarks-Octodon-Maddy-Trial-6,Octodon degus,MML,6
Landmarks-Octodon-Maddy-Trial-7,Octodon degus,MML,7
Landmarks-Octodon-Remi-Trial-1,Octodon degus,RA,1
Landmarks-Octodon-Remi-Trial-2,Octodon degus,RA,2
Landmarks-Octodon-Remi-Trial-3,Octodon degus,RA,3
Landmarks-Octodon-Remi-Trial-4,Octodon degus,RA,4
Landmarks-Octodon-Remi-Trial-5,Octodon degus,RA,5
Landmarks-Octodon-Remi-Trial-6,Octodon degus,RA,6
Landmarks-Octodon-Remi-Trial-7,Octodon degus,RA,7
