ID,Species,Subgroup,Order,N
Alouatta_palliata_Landmarks,Alouatta_palliata,Anthropoidea,Primates,1
Aplodontia_rufa_Landmarks,Aplodontia_rufa,SRC,Rodentia ,2
Ateles_geoffroyi_Landmarks,Ateles_geoffroyi,Anthropoidea,Primates,3
Bathyergus_suillus_Landmarks,Bathyergus_suillus,Ctenohystrica,Rodentia ,4
Callicebus-moloch-Landmarks,Callicebus_moloch,Anthropoidea,Primates,5
Callithrix_argentata_Landmarks,Mico_argentatus,Anthropoidea,Primates,6
Canomys_badius_Landmarks,Cannomys_badius,MRC,Rodentia ,7
Capromys_pilorides_Landmarks,Capromys_pilorides,Ctenohystrica,Rodentia ,8
Castor_fiber_Landmarks,Castor_fiber,MRC,Rodentia ,9
Cebus_apella_Landmarks,Sapajus_apella,Anthropoidea,Primates,10
Cheirogaleus-major-Landmarks,Cheirogaleus_major,Strepsirrhini,Primates,11
Cricteus_cricetus_Landmarks,Cricetus_cricetus,MRC,Rodentia ,12
Cynocephalus_volans_Landmarks,Cynocephalus_volans,Derm,Dermoptera,13
Dendrogale_melanura,Dendrogale_melanura,Scan,Scandentia,14
Galagoidsa_demidoffi_Landmarks,Galagoides_demidovii,Strepsirrhini,Primates,15
Galeopterus_variegatus_Landmarks,Galeopterus_variegatus,Derm,Dermoptera,16
Gerbillus_watersi_Landmarks,Gerbillus_watersi,MRC,Rodentia ,17
Glis_glis_Landmarks,Glis_glis,SRC,Rodentia ,18
Graphiurus_platyops_Landmarks,Graphiurus_platyops,SRC,Rodentia ,19
Heliosciurus_rufobrachium_Landmarks,Heliosciurus_rufobrachium,SRC,Rodentia ,20
Hyloptes_spadiceus_Landmarks,Hylopetes_spadiceus,SRC,Rodentia ,21
Idiurus_macrotus_Landmarks,Idiurus_macrotis,MRC,Rodentia ,22
Indri_indri_Landmarks,Indri_indri,Strepsirrhini,Primates,23
Jaculus_jaculus_Landmarks,Jaculus_jaculus,MRC,Rodentia ,24
Lagostomus_maximus_Landmarks,Lagostomus_maximus,Ctenohystrica,Rodentia ,25
Lemur_catta_Landmarks,Lemur_catta,Strepsirrhini,Primates,26
Lepus_americanus_Landmarks,Lepus_americanus,Leporidae,Lagomorpha,27
Mesomys_hispidus_Landmarks,Mesomys_hispidus,Ctenohystrica,Rodentia ,28
Myoprocta_acouchy_Landmarks,Myoprocta_acouchy,Ctenohystrica,Rodentia ,29
Ochotona_collaris_Landmarks,Ochotona_collaris,Ochotonidae,Lagomorpha,30
Ochotona_hyperborea_Landmarks,Ochotona_hyperborea,Ochotonidae,Lagomorpha,31
Ochotona_pallasi_Landmarks,Ochotona_pallasi,Ochotonidae,Lagomorpha,32
Octodon_degus_Landmarks,Octodon_degus,Ctenohystrica,Rodentia ,33
Oryctolagus_cunniculus_Landmarks,Oryctolagus_cuniculus,Leporidae,Lagomorpha,34
Perodicticus_potto_Landmarks,Perodicticus_potto,Strepsirrhini,Primates,35
Ptilocercus_lowii_usmn_481103_Landmarks,Ptilocercus_lowii_usmn_481103,Scan,P.lowii,usmn_481103
Ptilocercus_lowii_usmn_481107_Landmarks,Ptilocercus_lowii_usmn_481107,Scan,P.lowii,usmn_481107
Ptilocercus_lowii_usmn_481108_Landmarks,Ptilocercus_lowii_usmn_481108,Scan,P.lowii,usmn_481108
Ptilocercus_lowii_usmn_488052_Landmarks,Ptilocercus_lowii_usmn_488052,Scan,P.lowii,usmn_488052
Ptilocercus_lowii_usmn_488055_Landmarks,Ptilocercus_lowii_usmn_488055,Scan,P.lowii,usmn_488055
Sylvilagus_floridanus_Landmarks,Sylvilagus_floridanus,Leporidae,Lagomorpha,41
Tamiasciurus_hudsonicus_Landmarks,Tamiasciurus_hudsonicus,SRC,Rodentia ,42
Tupaia_glis_Landmarks,Tupaia_glis,Scan,Scandentia,43
Tupaia_palawanensis_Landmarks,Tupaia_palawanensis,Scan,Scandentia,44
